,topics,subtopics,sentences
91,zoning changes,residential to business zoning change,Thank you.
92,zoning changes,residential to business zoning change,"Sam Likling, Department of City Development, City Planning Manager."
93,zoning changes,residential to business zoning change,"The request in front of the committee is to change the zoning from the current RT4 zoning, which is a residential zoning classification, to LB2 local business."
94,zoning changes,residential to business zoning change,We believe that that zoning classification would both facilitate the reuse that all Roman Coggs already began to talk about.
95,zoning changes,residential to business zoning change,You're going to hear a little bit more from Ms. Thompson in a moment.
96,zoning changes,residential to business zoning change,It would also be consistent with the zoning of a lot of other corner establishments in Harambee and River West where you have that traditional neighborhood development pattern of having a mixed-use commercial establishment on an otherwise residential block.
97,zoning changes,residential to business zoning change,The current zoning would not allow for commercial uses without various approvals by the Board of Zoning Appeals.
98,zoning changes,residential to business zoning change,"And the recommendation from DCD, which would be consistent with the Northeast Side Area Plan and a lot of other planning efforts around traditional urban development, would be to rezone it to LB2 to facilitate these uses both now and in the future."
99,zoning changes,residential to business zoning change,"This item was heard by our City Plan Commission at the Monday, July 18th meeting."
100,zoning changes,residential to business zoning change,"After hearing a presentation from the applicant, they wholeheartedly endorsed this change and spoke very positively about it."
101,zoning changes,residential to business zoning change,The Common Council has also seen this proposal before.
102,zoning changes,residential to business zoning change,"This was a formerly city-owned building, and so the Council did approve the sale of the property to Ms. Thompson for the exact uses we're talking about today."
103,zoning changes,residential to business zoning change,"So, again, we think it's a really straightforward and positive zoning change that's consistent with the plan and the context, and it will facilitate a pretty incredible development that you're going to hear more about."
104,zoning changes,residential to business zoning change,Ms. Thompson?
105,zoning changes,residential to business zoning change,Yes.
106,zoning changes,residential to business zoning change,"First of all, thanks for all the work you have done for the City of Milwaukee, specifically, obviously, the Brownsville."
107,zoning changes,residential to business zoning change,"I mean, I think everyone is just very proud of the work that Alderman Cox has put into it over the years."
108,zoning changes,residential to business zoning change,"It's been a transformative, really, part of our city in the last 10 years, and we're grateful for women like you who are taking the leadership in that area."
109,zoning changes,residential to business zoning change,Would you just tell us a little bit about your project?
110,zoning changes,residential to business zoning change,"Thank you, thank you."
111,zoning changes,residential to business zoning change,"I also want to thank Alderman Cox for putting me on her shoulder as a beacon, helping me make a difference in the community."
112,zoning changes,residential to business zoning change,I couldn't do it without this Alderman here.
113,zoning changes,residential to business zoning change,Thank you.
114,zoning changes,residential to business zoning change,"Yes, my name is Tonda Thompson."
115,zoning changes,residential to business zoning change,I've done a lot of work in the community as a mentor to young people.
116,zoning changes,residential to business zoning change,I started a long time ago with Vogue Dreams Production.
117,zoning changes,residential to business zoning change,"After my modeling career, I started coaching young girls and teaching them how to walk with authority, as I call it, and having a confidence in teaching them modeling, basically, to be able to combat anything that they feel that they cannot do."
118,zoning changes,residential to business zoning change,"So this is a nine-year thing that has evolved into Valley Creative Collective, which is Vogue Dreams times 30."
119,zoning changes,residential to business zoning change,"As mentioned, She Slays Wood is a nationally known carpentry."
120,zoning changes,residential to business zoning change,We were featured on the Kelly Carson Show.
121,zoning changes,residential to business zoning change,"A lot of people across the nation is, you know, ranting and raving about it, but the thing that makes me proud about She Slays Wood is that I have four young girls who are graduates of Bradley Tech, where I went to school, and they actually have the skills of a carpenter, and they can actually do the work that, you know, most men do as carpenters, and they would never have to beg anybody for a job, but any day of their lives."
122,zoning changes,residential to business zoning change,"And the Harambee 5k, of course, is near and dear to that neighborhood."
123,zoning changes,residential to business zoning change,"First of all, I'm from the Harambee neighborhood."
124,zoning changes,residential to business zoning change,"My family house is in the Harambee neighborhood, so to get a hold of this building, which was inspired by Audubon-McCox, to see this vision come true, it's a blessing to me because it's changing the community already."
125,zoning changes,residential to business zoning change,"Once our doors are open, whenever I'm there working on the building or trying to, you know, trying to figure out what's going on, what I want to do with the division, whenever the doors are open, people are flooding in, seeing how they can help make a difference within that building themselves."
126,zoning changes,residential to business zoning change,So that community is heavily invested into that project.
127,zoning changes,residential to business zoning change,"I've created lots of friends so far over the last year, cutting the grass outside, making sure the property stays somewhat feasible until we are able to do the work on the building."
128,zoning changes,residential to business zoning change,"So I'm just, it's just, I'm an honor to make that property a beacon to that neighborhood and to change the light of what's going on on Berlion Archives."
129,zoning changes,residential to business zoning change,"Mr. Chair, if you don't mind before she finishes, two things, if you can add, who some of the sponsors that have come along to assist are and also how the viewing public, if they want to know more information about Valor Collective, how they can learn that."
130,zoning changes,residential to business zoning change,Absolutely.
131,zoning changes,residential to business zoning change,"So we have support from Legacy Redevelopment Corporation, which is one of our our banks."
132,zoning changes,residential to business zoning change,We also have support from Greater Milwaukee Foundation.
133,zoning changes,residential to business zoning change,"We also have support from American Family Insurance and a host of people and neighborhood people who've donated, who've, you know, when we first bought the building, I don't know if you guys ever seen the pictures of the building inside, but it was very scary."
134,zoning changes,residential to business zoning change,It was very scary.
135,zoning changes,residential to business zoning change,And the neighborhood residents helped me come and clean out that building.
136,zoning changes,residential to business zoning change,People donated dumpsters to help us clean up.
137,zoning changes,residential to business zoning change,"So it's just been a community, you know, a poor community support."
138,zoning changes,residential to business zoning change,"And there is still options to help if you like, but we have some big philanthropists coming through, helping us now and helping us get it done there."
139,zoning changes,residential to business zoning change,"In addition, Milwaukee Tools, Milwaukee Bucks."
140,zoning changes,residential to business zoning change,"What she says would, you know, it's a popular thing to see a woman, you know, use a hammer."
141,zoning changes,residential to business zoning change,So I have support from the Milwaukee Bucks who's donated as well as Milwaukee Tools have donated tools.
142,zoning changes,residential to business zoning change,"We have a huge support from a lot of different organizations across the city, but those are two of the main bigger ones that are coming on to help us."
143,zoning changes,residential to business zoning change,And the website?
144,zoning changes,residential to business zoning change,The website is ValorCreativeCollective.com.
145,zoning changes,residential to business zoning change,That gives you access to all of the businesses that are inside of that property that will be inside of that property once we're up and running.
146,zoning changes,residential to business zoning change,Could you repeat that please?
147,zoning changes,residential to business zoning change,ValorCreativeCollective.com.
148,zoning changes,residential to business zoning change,And the word valor means to be brave in the sight of danger.
149,zoning changes,residential to business zoning change,And that's something I'm definitely doing right now.
150,zoning changes,residential to business zoning change,But I don't think that neighborhood is danger.
151,zoning changes,residential to business zoning change,I just think that making a huge leap of change like that could be scary.
152,zoning changes,residential to business zoning change,And we're pushing through it.
153,zoning changes,residential to business zoning change,That's great news.
154,zoning changes,residential to business zoning change,Alderman Baumann moves for approval.
155,zoning changes,residential to business zoning change,It is a public hearing.
156,zoning changes,residential to business zoning change,So is there any other individuals who wish to testify in this matter?
157,zoning changes,residential to business zoning change,"If you want to just elaborate a little on the woodworking of this shop, tell us a little bit more about that."
158,zoning changes,residential to business zoning change,So right now my goal is to open up the windows to the shop.
159,zoning changes,residential to business zoning change,I was told that's prohibited.
160,zoning changes,residential to business zoning change,You shouldn't do it.
161,zoning changes,residential to business zoning change,But I want people to walk by and to be able to see young women working in a wood shop.
162,zoning changes,residential to business zoning change,And I want to just have that whole area just lit up.
163,zoning changes,residential to business zoning change,"But She Slangs Wood, we build tables, we build, right now we're building fences so we have occupancy to do so within our building."
164,zoning changes,residential to business zoning change,"So we're building fences, we're building sheds, she sheds, a lot of women like she sheds."
165,zoning changes,residential to business zoning change,So we come over as a group of women and we have a good time building sheds for other women and building fences for other women.
166,zoning changes,residential to business zoning change,So why did you start it?
167,zoning changes,residential to business zoning change,I started it because I have a five-year-old son.
168,zoning changes,residential to business zoning change,He was three at the time.
169,zoning changes,residential to business zoning change,He stood on the table.
170,zoning changes,residential to business zoning change,That's the story that we told on Kelly Carson Show.
171,zoning changes,residential to business zoning change,My son broke the table.
172,zoning changes,residential to business zoning change,"It was the middle of the pandemic and we didn't have access of, you know, going to a furniture store."
173,zoning changes,residential to business zoning change,So I decided to start building the table myself.
174,zoning changes,residential to business zoning change,And I'm a videographer.
175,zoning changes,residential to business zoning change,He wasn't receiving much work at the time.
176,zoning changes,residential to business zoning change,"We didn't know if we were going to live, to be honest, because it was right at the heart of the pandemic."
177,zoning changes,residential to business zoning change,So I just started selling tables to make extra ends meet.
178,zoning changes,residential to business zoning change,And I realized that a lot of other women wanted to do the same.
179,zoning changes,residential to business zoning change,"So I started teaching other women that art of building, but building whatever they wanted to, whenever they could."
180,zoning changes,residential to business zoning change,This is fabulous.
181,zoning changes,residential to business zoning change,That's great.
182,zoning changes,residential to business zoning change,So I'm going to move for approval and hearing no objections to order.
183,zoning changes,residential to business zoning change,Thank you.
184,zoning changes,residential to business zoning change,Congratulations.
185,zoning changes,residential to business zoning change,Thank you.
186,zoning changes,Good Hope Industrial Center,"Proceeding on the agenda, item six, file number 220299, a substitute resolution writing to minor modification to the detailed plan development known as Good Hope Industrial Center to allow additional fencing and other site changes at HellermannTyton facilities located at 6701 West Good Hope Road on the south side of Good Hope Road, West North 60th Street in the 9th Automatic District."
187,zoning changes,Good Hope Industrial Center,Sam?
188,zoning changes,Good Hope Industrial Center,"Thank you, Chair Murphy."
189,zoning changes,Good Hope Industrial Center,"Again, Sam Leikling, Department of City Development."
190,zoning changes,Good Hope Industrial Center,This file in front of you is a substitute resolution that would make some adjustments to the detailed plan development that the HellermannTyton facility is located within.
191,zoning changes,Good Hope Industrial Center,It was formerly known as the Good Hope Industrial Center when that detailed plan development was created.
192,zoning changes,Good Hope Industrial Center,"Obviously, HellermannTyton is an anchor on the northwest side, providing large numbers of high quality jobs in the Granville area."
193,zoning changes,Good Hope Industrial Center,The item in front of you today is to make minor adjustments to the detailed plan development because this site is zoned detailed plan development.
194,zoning changes,Good Hope Industrial Center,The council does have purview over changes to the site and that it is controlled through the DPD zoning.
195,zoning changes,Good Hope Industrial Center,The changes that are being proposed today that you're going to hear from representatives from the company about momentarily are relatively minor changes to the fencing to increase both safety and circulation on the site as well as to add a guard shack.
196,zoning changes,Good Hope Industrial Center,"The proposal was presented to our city plan commission on Monday, July 18th at our last city plan commission meeting."
197,zoning changes,Good Hope Industrial Center,Commissioners at the commission spoke about how attractive the existing HellermannTyton building is.
198,zoning changes,Good Hope Industrial Center,They supported these adjustments.
199,zoning changes,Good Hope Industrial Center,"They did ask some questions to the team that I think you're going to hear them touch on a little bit about just how to make sure that that guard shack really blends in with the existing building, the high quality standards that HellermannTyton has throughout the site, and making sure that that is reflected in the proposal you're going to hear today and you're going to hear about that shortly from the applicant team."
200,zoning changes,Good Hope Industrial Center,"After the public or after the hearing at city plan commission, the plan commissioners did unanimously recommend approval of this DPD amendment."
201,zoning changes,Good Hope Industrial Center,We're joined by Rick Rice from HellermannTyton as well as representatives of the design team to just talk in a little bit more depth about the proposal.
202,zoning changes,Good Hope Industrial Center,Go ahead gentlemen.
203,zoning changes,Good Hope Industrial Center,So what we're proposing is expanding the expanding the fencing around the site for security.
204,zoning changes,Good Hope Industrial Center,Currently there's a small corner on the northwest side of the property that isn't fenced in and houses the visitor parking and what we're proposing is expanding the fencing to include the visitor parking and add a guard shack to check people in as they come into the facility.
205,zoning changes,Good Hope Industrial Center,"Along with that, expanding the fencing, they would be creating a drop-off lane to increase the safety for the employees that are are dropped off for each shift."
206,zoning changes,Good Hope Industrial Center,Very good.
207,zoning changes,Good Hope Industrial Center,Any questions or comments committee members?
208,zoning changes,Good Hope Industrial Center,"If not, Alderman Perez moves for approval."
209,zoning changes,Good Hope Industrial Center,Hearing no objections with my abstain on the vote and hearing no objections to order.
210,zoning changes,Good Hope Industrial Center,Thank you.
211,zoning changes,authorizing a transfer of funds from the capital improvements,Proceeding on the agenda is item 720403.
212,zoning changes,authorizing a transfer of funds from the capital improvements,Resolution directing the Department of City Development to develop an update to the housing element of the city-wide policy plan to include proposed updates to the portions of the city's zoning code that govern residential development and authorizing a transfer of funds from the capital improvements advanced planning fund to a sub-account for the housing zone code update.
213,zoning changes,authorizing a transfer of funds from the capital improvements,This is sponsored by Alderman Baum and myself and Perez.
214,zoning changes,authorizing a transfer of funds from the capital improvements,Thank you chair and co-sponsors.
215,zoning changes,authorizing a transfer of funds from the capital improvements,The resolution in front of you would direct the Department of City Development to begin a process.
216,zoning changes,authorizing a transfer of funds from the capital improvements,There's nothing final being presented today.
217,zoning changes,authorizing a transfer of funds from the capital improvements,This would direct DCD to initiate a process to do two things.
218,zoning changes,authorizing a transfer of funds from the capital improvements,One would be to update the housing component of the city-wide policy plan and also to recommend changes to the city the elements of the city's zoning code that regulate housing development.
219,zoning changes,authorizing a transfer of funds from the capital improvements,The background there is obviously as you know back in 2010 the city-wide comprehensive plan including the policy city-wide policy plan was adopted.
220,zoning changes,authorizing a transfer of funds from the capital improvements,Since then we've had a number of area plan updates.
221,zoning changes,authorizing a transfer of funds from the capital improvements,There's been a city-wide affordable housing plan.
222,zoning changes,authorizing a transfer of funds from the capital improvements,There's been an you know the eco office has led a climate and equity plan in conjunction with the county and we've done transitory development planning.
223,zoning changes,authorizing a transfer of funds from the capital improvements,"A lot of those plans have made recommendations related to adding density near transit, continuing to look at things like how we regulate parking, accessory dwelling units, things like that."
224,zoning changes,authorizing a transfer of funds from the capital improvements,And so now we do want to take the next step in actually taking some of those recommendations and doing more in-depth look at our code.
225,zoning changes,authorizing a transfer of funds from the capital improvements,"The good news is I think when you compare us to cities across the country we have a very we have the kind of zoning code that a lot of cities across the country are in some ways emulating as far as looking at a wider mix of uses, very progressive low parking requirements, elements of the code that guide additional density toward transit, and design guidelines that really influence and prioritize the experience in the pedestrian realm."
226,zoning changes,authorizing a transfer of funds from the capital improvements,"That said we know that we can kind of continue to make the code as the code evolves, make changes that will advance some of the mayor's goals around growth, transit-oriented development, and some of the recommendations that have come out of our past planning studies around really making sure that our code enables that kind of development that I know the council's going on record wanting to see through your adoption of various comprehensive plans, the TOD plan, the work that's going on in the climate equity plan."
227,zoning changes,authorizing a transfer of funds from the capital improvements,So we're proposing to during 2023 carry out a project to actually begin to bring back to you all recommendations on ways that we can adjust the code to further support and enable that type of development.
228,zoning changes,authorizing a transfer of funds from the capital improvements,We do envision there being a fair amount of community engagement and outreach in this as that's a commitment we've made throughout any of our kind of planning exercises to work with you know stakeholders to ensure that the recommendations we're bringing forward align with you know neighborhood and community goals.
229,zoning changes,authorizing a transfer of funds from the capital improvements,And we also the resolution in front of you in addition to directing us to carry out this project would allocate funding from our existing 2022 city advanced planning budget to allow us to support some of that committee outreach and also bring on a consultant that has some experience in graphically representing some of these types of things.
230,zoning changes,authorizing a transfer of funds from the capital improvements,You know you've probably all seen the you know the in projects in the past you know really high quality graphics that are going to be needed to demonstrate to the public that kind of you know the kind of things we're talking about the kind of concepts.
231,zoning changes,authorizing a transfer of funds from the capital improvements,The project would be fully managed by the DC planning staff.
232,zoning changes,authorizing a transfer of funds from the capital improvements,We think we have a fair amount of in-house expertise in this but we still are asking for some funding to be allocated to supplement with those services I just talked about.
233,zoning changes,authorizing a transfer of funds from the capital improvements,So that's the resolution in front of you and we obviously look forward to working with all the council members on this important project as it moves forward.
234,zoning changes,authorizing a transfer of funds from the capital improvements,Mr. Chair?
235,zoning changes,authorizing a transfer of funds from the capital improvements,"Sure, Alderman Baumann."
236,zoning changes,authorizing a transfer of funds from the capital improvements,You know I see this involves an expenditure of a hundred thousand dollars.
237,zoning changes,authorizing a transfer of funds from the capital improvements,Usually when we spend a hundred thousand dollars around here we're trying to fix something fix a problem you know all in favor of expanding our knowledge and these exercises are always worthwhile but a hundred thousand dollars for consultants.
238,zoning changes,authorizing a transfer of funds from the capital improvements,What's the problem we're trying to fix with this expenditure?
239,zoning changes,authorizing a transfer of funds from the capital improvements,I think that when you kind of zoom back out one of the mayor's when the mayor released his economic development vision one of the planks of that vision said that he wanted to look at the zoning code to make sure that there were not any barriers to the kind of growth and development that that is part of the administration's vision that is the type of thing that have been supported by past planning efforts.
240,zoning changes,authorizing a transfer of funds from the capital improvements,So rather than and I think that will likely involve what what's impeding our growth and expansion.
241,zoning changes,authorizing a transfer of funds from the capital improvements,I think when you look at some of the recommendations that came out of the transitory development study a few years ago there was certainly recommendations for looking at things like the height and density allowed on some of our commercial and transit corridors and maybe looking at you know again I don't envision there being like we're not proposing to throw out the code it's kind of looking at those areas that could perhaps be tweaked to better enable some of that type of development. I think that the things that have come up a number of times in past planning efforts that we want to give some further exploration to is exactly that is kind of how we how we regulate density along some of our some of our transit and commercial corridors whether or not there is justific whether or not we should be looking at some of the ways we require or don't require or regulate parking and new development especially around transit the degree to which accessory dwelling units and different people call those different things like to interrupt you know this sounds very benign but taken to its logical extreme I think people should understand what this can represent.
242,zoning changes,authorizing a transfer of funds from the capital improvements,This could represent a significant up zoning of neighborhoods that have been traditionally very popular for their single and two-family residential character.
243,zoning changes,authorizing a transfer of funds from the capital improvements,Bayview is case in point if you if you rezone Bayview from an RT1234 to an RM13456 or 7 you could triple or quadruple the density of Bayview but would that be an improvement or would that be a detriment?
244,zoning changes,authorizing a transfer of funds from the capital improvements,"Superior Street, South Shore Street, some of the most magnificent views in the city of Milwaukee are now in the possession of relatively modest single-family homes."
245,zoning changes,authorizing a transfer of funds from the capital improvements,What would those streets look like with a row of 20-story high-rises?
246,zoning changes,authorizing a transfer of funds from the capital improvements,And you would say well the neighbors would never sell.
247,zoning changes,authorizing a transfer of funds from the capital improvements,"Oh no, developer comes in there willing to pay two million bucks for a house assessed at 400,000 and they might sell and you'd start to process because this happened in Chicago that's exactly how a lot of the Chicago lakefront developed or on the north side the northeast side Wall Avenue what a magnificent place for a string of high-rises or Terrace south of North Avenue what a big lots huge lots with lake views over the bluff magnificent location for high-rises"
248,zoning changes,authorizing a transfer of funds from the capital improvements,Are we really going to go there?
249,zoning changes,authorizing a transfer of funds from the capital improvements,Because if we really want to increase density and population growth you've got to add housing units where people want to live and it's those neighborhoods where people want to live.
250,zoning changes,authorizing a transfer of funds from the capital improvements,Is that a fair statement?
